id,x,y
J1,123.2310873,41.22717511
J2,123.2242609,41.22902415
J3,123.2240569,41.22882239
J4,123.2240034,41.22810475
J5,123.2236117,41.22704412
J6,123.2224369,41.22191476
J7,123.2225175,41.22057627
J8,123.221997,41.21958795
J9,123.2211596,41.21954276
J10,123.2211489,41.21931293
J11,123.2100563,41.21916278
J12,123.210121,41.21677591
J13,123.2094551,41.21679921
J14,123.2094766,41.2164928
J15,123.2059805,41.21649195
J16,123.2060182,41.21516544
J17,123.2051588,41.21514806
J18,123.2051805,41.21315214
J19,123.2071731,41.21317516
J20,123.2071894,41.21238283
J21,123.2070954,41.2123827
J22,123.2071169,41.21166698
J23,123.2085429,41.21166494
J24,123.2085483,41.21140485
J25,123.2086825,41.21139697
J26,123.2086799,41.21125584
J27,123.2085241,41.21125764
J28,123.2085188,41.2110177
J29,123.2086289,41.21095737
J30,123.2099392,41.2109531
J31,123.2099716,41.21021117
J32,123.21111,41.21022074
J33,123.2111099,41.21080948
J34,123.2115719,41.21085443
J35,123.2119798,41.21130256
J36,123.2127315,41.21170676
J37,123.2127529,41.21263422
J38,123.214847,41.21265293
J39,123.2148363,41.21199968
J40,123.2200333,41.21208617
J41,123.2200337,41.21029578
J42,123.2222237,41.21032219
J43,123.2215367,41.20931339
J44,123.220152,41.20790865
J45,123.2203774,41.2077879
J46,123.2196904,41.20702098
J47,123.2193898,41.20718197
J48,123.2163891,41.20397664
J49,123.2165019,41.20392031
J50,123.2163086,41.20366199
J51,123.2161959,41.2032989
J52,123.2157879,41.20288304
J53,123.2155087,41.20309645
J54,123.2153691,41.20308419
J55,123.2139998,41.20383668
J56,123.2123892,41.20199567
J57,123.2116803,41.20249484
J58,123.2106065,41.20121903
J59,123.2119168,41.20055932
J60,123.2099839,41.19849184
J61,123.2077926,41.19963425
J62,123.2059024,41.19743753
J63,123.2082871,41.19623094
J64,123.207299,41.19521316
J65,123.2151828,41.19099636
J66,123.2176951,41.19374204
J67,123.2194669,41.19275981
J68,123.222451,41.19598956
J69,123.2225693,41.19578801
J70,123.225081,41.19647599
J71,123.22822,41.20028992
J72,123.2283702,41.20079417
J73,123.228397,41.20115313
J74,123.228311,41.20212097
J75,123.2279378,41.20382458
J76,123.2279217,41.2042097
J77,123.2279887,41.20447995
J78,123.2309671,41.20278027
J79,123.2304896,41.20226373
J80,123.2304897,41.20197941
J81,123.2306131,41.20167097
J82,123.23086,41.20144933
J83,123.2363166,41.19852452
J84,123.2406177,41.20348688
J85,123.240607,41.20375305
J86,123.2396415,41.20437376
J87,123.2392017,41.20391386
J88,123.2383756,41.20433294
J89,123.2385902,41.20457097
J90,123.2379358,41.20491348
J91,123.2388796,41.20590593
J92,123.2374259,41.20668766
J93,123.2378442,41.20719596
J94,123.2370288,41.20761499
J95,123.2373989,41.20865556
J96,123.236047,41.20888478
J97,123.233424,41.20624601
J98,123.2325763,41.206185
J99,123.2324636,41.20656804
J100,123.2330859,41.20722978
J101,123.2330911,41.20784677
J102,123.232238,41.2082858
J103,123.2320182,41.20801144
J104,123.2314922,41.20799094
J105,123.2311006,41.20754305
J106,123.230081,41.20804239
J107,123.2304834,41.20847416
J108,123.2296516,41.20892118
J109,123.2293136,41.20858623
J110,123.2289594,41.20921505
J111,123.2291901,41.20933619
J112,123.2293457,41.2094734
J113,123.2294369,41.20956623
J114,123.2294531,41.2097114
J115,123.2285193,41.20992847
J116,123.2278376,41.21079492
J117,123.2277357,41.21087548
J118,123.2269629,41.21055227
J119,123.2256588,41.21054714
J120,123.2243063,41.21090886
J121,123.2253524,41.21407921
J122,123.2255295,41.21403501
J123,123.2259535,41.21381763
J124,123.2259053,41.21347484
J125,123.2258892,41.21314822
J126,123.2259161,41.21287807
J127,123.2260127,41.21251121
J128,123.2266139,41.2116246
J129,123.22758,41.21112537
J130,123.228138,41.21176293
J131,123.2306173,41.21041792
J132,123.230789,41.21042611
J133,123.2310895,41.21070858
J134,123.2311753,41.21072477
J135,123.2325704,41.20995952
J136,123.2389962,41.21693861
J137,123.2384274,41.21807542
J138,123.2359383,41.21945321
J139,123.2356808,41.21975952
J140,123.2408723,41.22492233
J141,123.2334693,41.22875694
J142,123.2310873,41.22717511
